alpha,beta,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,1.0,0.8,0.03445866,0.190476,0.123711,0.413793,12,85,17
0.0,1.0,0.85,0.03654643,0.196078,0.136986,0.344828,10,63,19
0.0,1.0,0.9,0.03774821,0.25641,0.204082,0.344828,10,39,19
0.0,1.0,0.92,0.03928725,0.235294,0.205128,0.275862,8,31,21
0.0,1.0,0.94,0.04436154,0.206897,0.206897,0.206897,6,23,23
0.0,1.0,0.96,0.04491711,0.204082,0.25,0.172414,5,15,24
0.0,1.0,0.98,0.04564608,0.153846,0.3,0.103448,3,7,26
0.0,1.0,0.99,0.04631745,0.117647,0.4,0.068966,2,3,27
0.2,0.8,0.8,0.03388453,0.190476,0.123711,0.413793,12,85,17
0.2,0.8,0.85,0.03612872,0.215686,0.150685,0.37931,11,62,18
0.2,0.8,0.9,0.03727739,0.25641,0.204082,0.344828,10,39,19
0.2,0.8,0.92,0.03881256,0.264706,0.230769,0.310345,9,30,20
0.2,0.8,0.94,0.04362948,0.206897,0.206897,0.206897,6,23,23
0.2,0.8,0.96,0.04471884,0.204082,0.25,0.172414,5,15,24
0.2,0.8,0.98,0.04508116,0.205128,0.4,0.137931,4,6,25
0.2,0.8,0.99,0.04611103,0.117647,0.4,0.068966,2,3,27
0.4,0.6,0.8,0.03347142,0.190476,0.123711,0.413793,12,85,17
0.4,0.6,0.85,0.03569071,0.215686,0.150685,0.37931,11,62,18
0.4,0.6,0.9,0.03680658,0.25641,0.204082,0.344828,10,39,19
0.4,0.6,0.92,0.03837328,0.264706,0.230769,0.310345,9,30,20
0.4,0.6,0.94,0.04266124,0.206897,0.206897,0.206897,6,23,23
0.4,0.6,0.96,0.04387761,0.244898,0.3,0.206897,6,14,23
0.4,0.6,0.98,0.04487136,0.205128,0.4,0.137931,4,6,25
0.4,0.6,0.99,0.04596704,0.117647,0.4,0.068966,2,3,27
0.5,0.5,0.8,0.03322924,0.190476,0.123711,0.413793,12,85,17
0.5,0.5,0.85,0.03547678,0.215686,0.150685,0.37931,11,62,18
0.5,0.5,0.9,0.03659855,0.25641,0.204082,0.344828,10,39,19
0.5,0.5,0.92,0.03815363,0.264706,0.230769,0.310345,9,30,20
0.5,0.5,0.94,0.04227399,0.241379,0.241379,0.241379,7,22,22
0.5,0.5,0.96,0.04345216,0.244898,0.3,0.206897,6,14,23
0.5,0.5,0.98,0.04481201,0.25641,0.5,0.172414,5,5,24
0.5,0.5,0.99,0.04589503,0.117647,0.4,0.068966,2,3,27
0.6,0.4,0.8,0.03287461,0.190476,0.123711,0.413793,12,85,17
0.6,0.4,0.85,0.03526285,0.215686,0.150685,0.37931,11,62,18
0.6,0.4,0.9,0.03651999,0.282051,0.22449,0.37931,11,38,18
0.6,0.4,0.92,0.03794409,0.264706,0.230769,0.310345,9,30,20
0.6,0.4,0.94,0.04189576,0.275862,0.275862,0.275862,8,21,21
0.6,0.4,0.96,0.04312152,0.244898,0.3,0.206897,6,14,23
0.6,0.4,0.98,0.04469514,0.25641,0.5,0.172414,5,5,24
0.6,0.4,0.99,0.04582304,0.117647,0.4,0.068966,2,3,27
0.8,0.19999999999999996,0.8,0.03251733,0.206349,0.134021,0.448276,13,84,16
0.8,0.19999999999999996,0.85,0.0348364,0.215686,0.150685,0.37931,11,62,18
0.8,0.19999999999999996,0.9,0.03602076,0.282051,0.22449,0.37931,11,38,18
0.8,0.19999999999999996,0.92,0.03771109,0.294118,0.25641,0.344828,10,29,19
0.8,0.19999999999999996,0.94,0.04095644,0.275862,0.275862,0.275862,8,21,21
0.8,0.19999999999999996,0.96,0.04266086,0.285714,0.35,0.241379,7,13,22
0.8,0.19999999999999996,0.98,0.04450976,0.307692,0.6,0.206897,6,4,23
0.8,0.19999999999999996,0.99,0.04567904,0.117647,0.4,0.068966,2,3,27
1.0,0.0,0.8,0.03215482,0.206349,0.134021,0.448276,13,84,16
1.0,0.0,0.85,0.03450994,0.215686,0.150685,0.37931,11,62,18
1.0,0.0,0.9,0.03555675,0.282051,0.22449,0.37931,11,38,18
1.0,0.0,0.92,0.03725897,0.294118,0.25641,0.344828,10,29,19
1.0,0.0,0.94,0.03991312,0.275862,0.275862,0.275862,8,21,21
1.0,0.0,0.96,0.04231488,0.285714,0.35,0.241379,7,13,22
1.0,0.0,0.98,0.0443087,0.307692,0.6,0.206897,6,4,23
1.0,0.0,0.99,0.04559605,0.117647,0.4,0.068966,2,3,27
