alpha,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,0.8,0.09349023,0.222222,0.14433,0.482759,14,83,15
0.0,0.85,0.09455981,0.215686,0.150685,0.37931,11,62,18
0.0,0.9,0.09542321,0.25641,0.204082,0.344828,10,39,19
0.0,0.92,0.09550931,0.294118,0.25641,0.344828,10,29,19
0.0,0.94,0.09610194,0.344828,0.344828,0.344828,10,19,19
0.0,0.96,0.0974252,0.408163,0.5,0.344828,10,10,19
0.0,0.98,0.10122059,0.461538,0.9,0.310345,9,1,20
0.0,0.99,0.13003598,0.294118,1.0,0.172414,5,0,24
0.2,0.8,0.09229781,0.238095,0.154639,0.517241,15,82,14
0.2,0.85,0.09343236,0.235294,0.164384,0.413793,12,61,17
0.2,0.9,0.09454757,0.282051,0.22449,0.37931,11,38,18
0.2,0.92,0.09472013,0.294118,0.25641,0.344828,10,29,19
0.2,0.94,0.09579257,0.344828,0.344828,0.344828,10,19,19
0.2,0.96,0.09668738,0.367347,0.45,0.310345,9,11,20
0.2,0.98,0.1014445,0.461538,0.9,0.310345,9,1,20
0.2,0.99,0.12491804,0.294118,1.0,0.172414,5,0,24
0.4,0.8,0.09063803,0.222222,0.14433,0.482759,14,83,15
0.4,0.85,0.09234826,0.215686,0.150685,0.37931,11,62,18
0.4,0.9,0.09391876,0.25641,0.204082,0.344828,10,39,19
0.4,0.92,0.0940215,0.294118,0.25641,0.344828,10,29,19
0.4,0.94,0.09561209,0.344828,0.344828,0.344828,10,19,19
0.4,0.96,0.09647135,0.408163,0.5,0.344828,10,10,19
0.4,0.98,0.10162164,0.461538,0.9,0.310345,9,1,20
0.4,0.99,0.11980011,0.294118,1.0,0.172414,5,0,24
0.6,0.8,0.08887164,0.206349,0.134021,0.448276,13,84,16
0.6,0.85,0.09124548,0.235294,0.164384,0.413793,12,61,17
0.6,0.9,0.09319187,0.282051,0.22449,0.37931,11,38,18
0.6,0.92,0.09340347,0.323529,0.282051,0.37931,11,28,18
0.6,0.94,0.09470083,0.344828,0.344828,0.344828,10,19,19
0.6,0.96,0.09680658,0.408163,0.5,0.344828,10,10,19
0.6,0.98,0.10001643,0.410256,0.8,0.275862,8,2,21
0.6,0.99,0.11468218,0.294118,1.0,0.172414,5,0,24
0.8,0.8,0.0870599,0.222222,0.14433,0.482759,14,83,15
0.8,0.85,0.09002014,0.235294,0.164384,0.413793,12,61,17
0.8,0.9,0.09239601,0.282051,0.22449,0.37931,11,38,18
0.8,0.92,0.09277348,0.323529,0.282051,0.37931,11,28,18
0.8,0.94,0.09417745,0.344828,0.344828,0.344828,10,19,19
0.8,0.96,0.09562803,0.367347,0.45,0.310345,9,11,20
0.8,0.98,0.10039819,0.410256,0.8,0.275862,8,2,21
0.8,0.99,0.11042646,0.294118,1.0,0.172414,5,0,24
1.0,0.8,0.08533158,0.222222,0.14433,0.482759,14,83,15
1.0,0.85,0.08890831,0.235294,0.164384,0.413793,12,61,17
1.0,0.9,0.0915434,0.25641,0.204082,0.344828,10,39,19
1.0,0.92,0.09192297,0.294118,0.25641,0.344828,10,29,19
1.0,0.94,0.09368188,0.344828,0.344828,0.344828,10,19,19
1.0,0.96,0.09653436,0.408163,0.5,0.344828,10,10,19
1.0,0.98,0.10024997,0.410256,0.8,0.275862,8,2,21
1.0,0.99,0.10554759,0.294118,1.0,0.172414,5,0,24
