pod,metric,threshold,precision,recall,f1,anomaly_points
adservice-7c8b9f944-b7rfw,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
cartservice-77f8cfdff-4gflb,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
checkoutservice-5fcbc94d48-c8mxz,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
currencyservice-7c5c4ccd64-8zv72,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
emailservice-5c4564f4db-c9pjv,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
frontend-fc6b4bb46-wwx7m,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
paymentservice-858d7c66fd-pwd9m,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
productcatalogservice-59867cb94d-gjfzt,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
recommendationservice-9c8dd7cd6-f6x7c,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
redis-cart-6f887989c8-s4r67,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
shippingservice-995d6f9c8-428x6,fs_write_bytes,1.5390585849282357e-09,0.6666666666666666,0.03278688524590164,0.0625,3
