epoch,loss_ae1,loss_ae2
1,0.20661773905158043,0.2742261700332165
2,0.23482652939856052,0.0
3,0.24610675685107708,-0.08985967468470335
4,0.2499714456498623,-0.13411934673786163
5,0.2525653559714556,-0.16039252653717995
6,0.25151152163743973,-0.17597976699471474
7,0.2541813477873802,-0.18929308466613293
8,0.25486724078655243,-0.19830961897969246
9,0.2557379826903343,-0.20550507865846157
10,0.253855936229229,-0.20917698368430138
11,0.25412584096193314,-0.21353850327432156
12,0.25116122886538506,-0.21454198099672794
13,0.25313484482467175,-0.21907631680369377
14,0.2523377351462841,-0.22087123058736324
15,0.25042378157377243,-0.22127174772322178
16,0.2507552206516266,-0.22344270907342434
17,0.24840668961405754,-0.22294782102108002
18,0.24627947434782982,-0.22244341857731342
19,0.2440033834427595,-0.22164799831807613
20,0.2451875191181898,-0.22382906638085842
21,0.2426104974001646,-0.2225238922983408
22,0.242573207244277,-0.22336985729634762
23,0.23930257000029087,-0.22118223272264004
24,0.23850272223353386,-0.22118417732417583
25,0.23587728291749954,-0.21946028620004654
26,0.23620099388062954,-0.22036266513168812
27,0.23371723853051662,-0.21861123107373714
28,0.23554499074816704,-0.2208258118480444
29,0.23100086487829685,-0.21709192171692848
30,0.23221679590642452,-0.2186656929552555
31,0.2310068141669035,-0.2179449237883091
32,0.23127116076648235,-0.21856385841965675
33,0.2287354227155447,-0.21654438227415085
34,0.22502277605235577,-0.21338894963264465
35,0.22319975309073925,-0.21196999587118626
36,0.22117958776652813,-0.2103506326675415
37,0.22030961327254772,-0.20980217680335045
38,0.2174819502979517,-0.2073791492730379
39,0.21714972890913486,-0.2072896771132946
40,0.21691857278347015,-0.20730972290039062
41,0.2133769504725933,-0.20413697138428688
42,0.21429148316383362,-0.20520680956542492
43,0.21195143274962902,-0.20316834934055805
44,0.2115592584013939,-0.20297923497855663
45,0.20881357416510582,-0.20052569173276424
46,0.20903408713638783,-0.20087245851755142
47,0.20752614736557007,-0.19959078170359135
48,0.20533003471791744,-0.1976226195693016
49,0.2012979183346033,-0.19388744607567787
50,0.2011283840984106,-0.19385827705264091
51,0.19998783990740776,-0.19288709945976734
52,0.19741578958928585,-0.1905219368636608
53,0.1967609655112028,-0.19000922702252865
54,0.1956924181431532,-0.18907846324145794
55,0.1952574271708727,-0.1887692678719759
56,0.1929633840918541,-0.18665020167827606
57,0.19022642262279987,-0.18410195782780647
58,0.18852056749165058,-0.18253695406019688
59,0.18602987192571163,-0.18020798079669476
60,0.18488632328808308,-0.17919524759054184
61,0.1836158111691475,-0.17804069258272648
62,0.18222597427666187,-0.17676357179880142
63,0.18265758082270622,-0.17724371142685413
64,0.17893757671117783,-0.17370938137173653
65,0.17896392196416855,-0.1738019771873951
66,0.1764396633952856,-0.1714203953742981
67,0.1741029266268015,-0.1692118477076292
68,0.1756435427814722,-0.17076604440808296
69,0.1744822021573782,-0.1697005033493042
70,0.17383051104843616,-0.16913028806447983
71,0.172871895134449,-0.16825960204005241
72,0.17220033146440983,-0.1676795408129692
73,0.1713578999042511,-0.16689888015389442
74,0.168967604637146,-0.16462846845388412
75,0.17014393024146557,-0.16581688821315765
76,0.1692878995090723,-0.1650333423167467
77,0.16865025646984577,-0.16446198895573616
78,0.1677396334707737,-0.16362686827778816
79,0.16591563448309898,-0.16189289279282093
80,0.1663775071501732,-0.16239198856055737
81,0.16512645408511162,-0.1612016037106514
82,0.16406452469527721,-0.16021839156746864
83,0.1633881963789463,-0.15959333442151546
84,0.16381466388702393,-0.16005175933241844
85,0.16203241795301437,-0.15835009515285492
86,0.16183755733072758,-0.15819869376718998
87,0.1610897332429886,-0.15749817714095116
88,0.16082967072725296,-0.15727828070521355
89,0.15901635959744453,-0.15554868057370186
90,0.1582002229988575,-0.1547794695943594
91,0.1592135038226843,-0.1557962317019701
92,0.15690147317945957,-0.15357492491602898
93,0.15616566315293312,-0.1528846975415945
94,0.15705085173249245,-0.1537782046943903
95,0.15622593648731709,-0.1530020423233509
96,0.1547473482787609,-0.15157601051032543
97,0.15438733622431755,-0.1512755099684
98,0.15404292196035385,-0.1509418822824955
99,0.15224572457373142,-0.14921548776328564
100,0.1525098830461502,-0.1494974885135889
101,0.152206189930439,-0.14921985194087029
102,0.1511412300169468,-0.14820601046085358
103,0.15026910975575447,-0.14737922698259354
104,0.1498698890209198,-0.14700319804251194
105,0.1502356119453907,-0.14737810380756855
106,0.149607228115201,-0.1467895619571209
107,0.14763538539409637,-0.14488426595926285
108,0.14821203984320164,-0.14545872621238232
109,0.1468387506902218,-0.144139489158988
110,0.1462585311383009,-0.1435866504907608
111,0.1452083233743906,-0.1425812803208828
112,0.145170908421278,-0.14256101474165916
113,0.14531126990914345,-0.14271539635956287
114,0.1434430330991745,-0.14090330712497234
115,0.14319687150418758,-0.14068157225847244
116,0.1423145141452551,-0.13983306847512722
117,0.14277208410203457,-0.14029389806091785
118,0.14104572869837284,-0.13862278312444687
119,0.14222228527069092,-0.13979528471827507
120,0.14049525558948517,-0.13810358010232449
121,0.13939978554844856,-0.13704527541995049
122,0.1405323501676321,-0.1381707862019539
123,0.13930749706923962,-0.13698536530137062
124,0.13961860351264477,-0.13730323500931263
125,0.13805303908884525,-0.13578497245907784
126,0.1365773230791092,-0.13434468396008015
127,0.13630510680377483,-0.13409016281366348
128,0.1366342008113861,-0.1344273891299963
129,0.13511108793318272,-0.13294077292084694
130,0.1350358035415411,-0.13288601487874985
131,0.13359040394425392,-0.13147340714931488
132,0.1345690693706274,-0.13244587741792202
133,0.13287034630775452,-0.1307904366403818
134,0.13365420140326023,-0.13157234527170658
135,0.1319198552519083,-0.1298807542771101
136,0.13171822763979435,-0.12969493493437767
137,0.13108273968100548,-0.1290904888883233
138,0.1330520212650299,-0.13103549554944038
139,0.13110185228288174,-0.12913109920918941
140,0.1321694664657116,-0.13019129820168018
141,0.13150696270167828,-0.12954776175320148
142,0.132933858782053,-0.1309830192476511
143,0.130595825612545,-0.12867601960897446
144,0.13033620081841946,-0.12843489460647106
145,0.131338806822896,-0.12943120766431093
146,0.12959735468029976,-0.12773166224360466
147,0.13053599931299686,-0.1286681517958641
148,0.12903187051415443,-0.1271900963038206
149,0.12942521646618843,-0.12759113498032093
150,0.12841767445206642,-0.12661070469766855
151,0.12946000508964062,-0.12764222361147404
152,0.12774977553635836,-0.12597247958183289
153,0.12768375873565674,-0.12591558881103992
154,0.1280780490487814,-0.1263133017346263
155,0.127213042229414,-0.1254717856645584
156,0.12823203951120377,-0.12648611515760422
157,0.1263562748208642,-0.12465736549347639
158,0.12655172869563103,-0.1248487513512373
159,0.1261365171521902,-0.12444970570504665
160,0.12807503622025251,-0.1263649668544531
161,0.1254450911656022,-0.12378375604748726
162,0.12579388171434402,-0.12413529865443707
163,0.12515384424477816,-0.12351496331393719
164,0.12476238142699003,-0.12314051855355501
165,0.12556933984160423,-0.12393988762050867
166,0.12384153436869383,-0.12224557343870401
167,0.12398332171142101,-0.12239150516688824
168,0.12382441200315952,-0.12224413175135851
169,0.12387609574943781,-0.1223041694611311
170,0.12305215373635292,-0.12149825878441334
171,0.12334642186760902,-0.1217990480363369
172,0.12197873368859291,-0.12045709136873484
173,0.12251635361462831,-0.12099324073642492
174,0.12213676981627941,-0.12062495946884155
175,0.12220427393913269,-0.1206970252096653
176,0.12183694168925285,-0.12034314777702093
177,0.12153288256376982,-0.12004842422902584
178,0.12177324946969748,-0.12029443215578794
179,0.1215325715020299,-0.12007119134068489
180,0.12112575769424438,-0.11966995149850845
181,0.12025832571089268,-0.11881963536143303
182,0.12023419141769409,-0.11880772281438112
183,0.12124690040946007,-0.11980607267469168
184,0.11975937522947788,-0.11834853794425726
185,0.11898065079003572,-0.11758537497371435
