amp_window,score_window,diff_order,smooth,preproc,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
7,41,0,0,zscore,0.92,0.12646865232777288,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
13,51,0,0,zscore,0.92,0.2331920812576721,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
7,21,0,0,zscore,0.92,0.05793934187034894,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
11,21,0,0,zscore,0.92,0.09415523206922248,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
7,31,0,0,zscore,0.92,0.07288957357487506,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
13,21,0,0,zscore,0.92,0.09399784485280824,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
9,21,0,0,zscore,0.92,0.0798221004592444,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
9,41,0,0,zscore,0.92,0.15540930108716952,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
9,27,0,0,zscore,0.92,0.08866773691654652,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
13,41,0,0,zscore,0.92,0.16106403715632875,0.28205128205128205,1.0,0.44000000000000006,11,28,0,39
