alpha,beta,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,1.0,0.7,0.05126246,0.43299,0.583333,0.344262,21,15,40
0.0,1.0,0.8,0.0554461,0.352941,0.625,0.245902,15,9,46
0.0,1.0,0.85,0.0572625,0.303797,0.666667,0.196721,12,6,49
0.0,1.0,0.9,0.0604587,0.219178,0.666667,0.131148,8,4,53
0.0,1.0,0.92,0.0615586,0.225352,0.8,0.131148,8,2,53
0.0,1.0,0.94,0.06227557,0.173913,0.75,0.098361,6,2,55
0.0,1.0,0.96,0.06361494,0.121212,0.8,0.065574,4,1,57
0.0,1.0,0.98,0.06398582,0.09375,1.0,0.04918,3,0,58
0.0,1.0,0.99,0.06642575,0.063492,1.0,0.032787,2,0,59
0.1,0.9,0.7,0.05107568,0.43299,0.583333,0.344262,21,15,40
0.1,0.9,0.8,0.05511072,0.352941,0.625,0.245902,15,9,46
0.1,0.9,0.85,0.0571608,0.303797,0.666667,0.196721,12,6,49
0.1,0.9,0.9,0.06020156,0.219178,0.666667,0.131148,8,4,53
0.1,0.9,0.92,0.06125756,0.225352,0.8,0.131148,8,2,53
0.1,0.9,0.94,0.06247718,0.173913,0.75,0.098361,6,2,55
0.1,0.9,0.96,0.06347164,0.121212,0.8,0.065574,4,1,57
0.1,0.9,0.98,0.06395656,0.09375,1.0,0.04918,3,0,58
0.1,0.9,0.99,0.0661861,0.063492,1.0,0.032787,2,0,59
0.3,0.7,0.7,0.05039133,0.43299,0.583333,0.344262,21,15,40
0.3,0.7,0.8,0.05446649,0.376471,0.666667,0.262295,16,8,45
0.3,0.7,0.85,0.05679159,0.303797,0.666667,0.196721,12,6,49
0.3,0.7,0.9,0.0596873,0.219178,0.666667,0.131148,8,4,53
0.3,0.7,0.92,0.0606555,0.225352,0.8,0.131148,8,2,53
0.3,0.7,0.94,0.06278786,0.173913,0.75,0.098361,6,2,55
0.3,0.7,0.96,0.06321418,0.121212,0.8,0.065574,4,1,57
0.3,0.7,0.98,0.06392378,0.0625,0.666667,0.032787,2,1,59
0.3,0.7,0.99,0.0657143,0.063492,1.0,0.032787,2,0,59
0.5,0.5,0.7,0.04967624,0.43299,0.583333,0.344262,21,15,40
0.5,0.5,0.8,0.05383073,0.352941,0.625,0.245902,15,9,46
0.5,0.5,0.85,0.05636878,0.303797,0.666667,0.196721,12,6,49
0.5,0.5,0.9,0.05917303,0.219178,0.666667,0.131148,8,4,53
0.5,0.5,0.92,0.06005345,0.225352,0.8,0.131148,8,2,53
0.5,0.5,0.94,0.06236434,0.173913,0.75,0.098361,6,2,55
0.5,0.5,0.96,0.06346599,0.121212,0.8,0.065574,4,1,57
0.5,0.5,0.98,0.06393704,0.0625,0.666667,0.032787,2,1,59
0.5,0.5,0.99,0.0652536,0.063492,1.0,0.032787,2,0,59
0.7,0.30000000000000004,0.7,0.04898288,0.43299,0.583333,0.344262,21,15,40
0.7,0.30000000000000004,0.8,0.05320814,0.352941,0.625,0.245902,15,9,46
0.7,0.30000000000000004,0.85,0.05594598,0.303797,0.666667,0.196721,12,6,49
0.7,0.30000000000000004,0.9,0.05880318,0.246575,0.75,0.147541,9,3,52
0.7,0.30000000000000004,0.92,0.05957632,0.197183,0.7,0.114754,7,3,54
0.7,0.30000000000000004,0.94,0.06194082,0.173913,0.75,0.098361,6,2,55
0.7,0.30000000000000004,0.96,0.06370394,0.121212,0.8,0.065574,4,1,57
0.7,0.30000000000000004,0.98,0.0639503,0.0625,0.666667,0.032787,2,1,59
0.7,0.30000000000000004,0.99,0.0647929,0.063492,1.0,0.032787,2,0,59
0.9,0.09999999999999998,0.7,0.04833164,0.43299,0.583333,0.344262,21,15,40
0.9,0.09999999999999998,0.8,0.05257896,0.352941,0.625,0.245902,15,9,46
0.9,0.09999999999999998,0.85,0.05552317,0.303797,0.666667,0.196721,12,6,49
0.9,0.09999999999999998,0.9,0.05843368,0.246575,0.75,0.147541,9,3,52
0.9,0.09999999999999998,0.92,0.05929232,0.197183,0.7,0.114754,7,3,54
0.9,0.09999999999999998,0.94,0.06151731,0.173913,0.75,0.098361,6,2,55
0.9,0.09999999999999998,0.96,0.06371056,0.121212,0.8,0.065574,4,1,57
0.9,0.09999999999999998,0.98,0.06408528,0.09375,1.0,0.04918,3,0,58
0.9,0.09999999999999998,0.99,0.06436229,0.063492,1.0,0.032787,2,0,59
1.0,0.0,0.7,0.04797436,0.412371,0.555556,0.327869,20,16,41
1.0,0.0,0.8,0.05233502,0.352941,0.625,0.245902,15,9,46
1.0,0.0,0.85,0.05531176,0.303797,0.666667,0.196721,12,6,49
1.0,0.0,0.9,0.05822888,0.246575,0.75,0.147541,9,3,52
1.0,0.0,0.92,0.05919929,0.197183,0.7,0.114754,7,3,54
1.0,0.0,0.94,0.06130556,0.173913,0.75,0.098361,6,2,55
1.0,0.0,0.96,0.06368,0.121212,0.8,0.065574,4,1,57
1.0,0.0,0.98,0.0640759,0.09375,1.0,0.04918,3,0,58
1.0,0.0,0.99,0.06431486,0.063492,1.0,0.032787,2,0,59
