alpha,beta,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,1.0,0.7,0.04431498,0.464516,1.0,0.302521,72,0,166
0.0,1.0,0.8,0.05175816,0.335664,1.0,0.201681,48,0,190
0.0,1.0,0.85,0.05724036,0.262774,1.0,0.151261,36,0,202
0.0,1.0,0.9,0.06186224,0.183206,1.0,0.10084,24,0,214
0.0,1.0,0.92,0.06693122,0.14786,1.0,0.079832,19,0,219
0.0,1.0,0.94,0.06844188,0.118577,1.0,0.063025,15,0,223
0.0,1.0,0.96,0.07117884,0.080645,1.0,0.042017,10,0,228
0.0,1.0,0.98,0.08095256,0.041152,1.0,0.021008,5,0,233
0.0,1.0,0.99,0.08190757,0.024896,1.0,0.012605,3,0,235
0.1,0.9,0.7,0.04398935,0.464516,1.0,0.302521,72,0,166
0.1,0.9,0.8,0.05160872,0.335664,1.0,0.201681,48,0,190
0.1,0.9,0.85,0.05703324,0.262774,1.0,0.151261,36,0,202
0.1,0.9,0.9,0.06152918,0.183206,1.0,0.10084,24,0,214
0.1,0.9,0.92,0.06679668,0.14786,1.0,0.079832,19,0,219
0.1,0.9,0.94,0.06806411,0.118577,1.0,0.063025,15,0,223
0.1,0.9,0.96,0.0707595,0.080645,1.0,0.042017,10,0,228
0.1,0.9,0.98,0.08044146,0.041152,1.0,0.021008,5,0,233
0.1,0.9,0.99,0.08140162,0.024896,1.0,0.012605,3,0,235
0.3,0.7,0.7,0.04333808,0.464516,1.0,0.302521,72,0,166
0.3,0.7,0.8,0.05133068,0.335664,1.0,0.201681,48,0,190
0.3,0.7,0.85,0.05659888,0.262774,1.0,0.151261,36,0,202
0.3,0.7,0.9,0.0607992,0.183206,1.0,0.10084,24,0,214
0.3,0.7,0.92,0.0660732,0.14786,1.0,0.079832,19,0,219
0.3,0.7,0.94,0.06730858,0.118577,1.0,0.063025,15,0,223
0.3,0.7,0.96,0.06984581,0.080645,1.0,0.042017,10,0,228
0.3,0.7,0.98,0.07941928,0.041152,1.0,0.021008,5,0,233
0.3,0.7,0.99,0.08038971,0.024896,1.0,0.012605,3,0,235
0.5,0.5,0.7,0.04322344,0.464516,1.0,0.302521,72,0,166
0.5,0.5,0.8,0.05063966,0.335664,1.0,0.201681,48,0,190
0.5,0.5,0.85,0.05594832,0.262774,1.0,0.151261,36,0,202
0.5,0.5,0.9,0.05993133,0.183206,1.0,0.10084,24,0,214
0.5,0.5,0.92,0.06485008,0.14786,1.0,0.079832,19,0,219
0.5,0.5,0.94,0.06656696,0.118577,1.0,0.063025,15,0,223
0.5,0.5,0.96,0.06869556,0.080645,1.0,0.042017,10,0,228
0.5,0.5,0.98,0.0783971,0.041152,1.0,0.021008,5,0,233
0.5,0.5,0.99,0.0793778,0.024896,1.0,0.012605,3,0,235
0.7,0.30000000000000004,0.7,0.04268484,0.464516,1.0,0.302521,72,0,166
0.7,0.30000000000000004,0.8,0.0500839,0.335664,1.0,0.201681,48,0,190
0.7,0.30000000000000004,0.85,0.05513464,0.262774,1.0,0.151261,36,0,202
0.7,0.30000000000000004,0.9,0.05883244,0.183206,1.0,0.10084,24,0,214
0.7,0.30000000000000004,0.92,0.06361432,0.14786,1.0,0.079832,19,0,219
0.7,0.30000000000000004,0.94,0.0659052,0.118577,1.0,0.063025,15,0,223
0.7,0.30000000000000004,0.96,0.06742658,0.080645,1.0,0.042017,10,0,228
0.7,0.30000000000000004,0.98,0.07737492,0.041152,1.0,0.021008,5,0,233
0.7,0.30000000000000004,0.99,0.0783659,0.024896,1.0,0.012605,3,0,235
0.9,0.09999999999999998,0.7,0.04214624,0.464516,1.0,0.302521,72,0,166
0.9,0.09999999999999998,0.8,0.04965017,0.335664,1.0,0.201681,48,0,190
0.9,0.09999999999999998,0.85,0.05452111,0.262774,1.0,0.151261,36,0,202
0.9,0.09999999999999998,0.9,0.0582176,0.183206,1.0,0.10084,24,0,214
0.9,0.09999999999999998,0.92,0.06235631,0.14786,1.0,0.079832,19,0,219
0.9,0.09999999999999998,0.94,0.06513817,0.118577,1.0,0.063025,15,0,223
0.9,0.09999999999999998,0.96,0.06644758,0.080645,1.0,0.042017,10,0,228
0.9,0.09999999999999998,0.98,0.07635272,0.041152,1.0,0.021008,5,0,233
0.9,0.09999999999999998,0.99,0.077354,0.024896,1.0,0.012605,3,0,235
1.0,0.0,0.7,0.04187694,0.464516,1.0,0.302521,72,0,166
1.0,0.0,0.8,0.04945071,0.335664,1.0,0.201681,48,0,190
1.0,0.0,0.85,0.05404213,0.262774,1.0,0.151261,36,0,202
1.0,0.0,0.9,0.05787562,0.183206,1.0,0.10084,24,0,214
1.0,0.0,0.92,0.06172557,0.14786,1.0,0.079832,19,0,219
1.0,0.0,0.94,0.06468624,0.118577,1.0,0.063025,15,0,223
1.0,0.0,0.96,0.06610171,0.080645,1.0,0.042017,10,0,228
1.0,0.0,0.98,0.07584164,0.041152,1.0,0.021008,5,0,233
1.0,0.0,0.99,0.07684804,0.024896,1.0,0.012605,3,0,235
