alpha,beta,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,1.0,0.7,0.03559694,0.106931,0.1875,0.074792,27,117,334
0.0,1.0,0.8,0.04508536,0.056893,0.135417,0.036011,13,83,348
0.0,1.0,0.85,0.04638354,0.060046,0.180556,0.036011,13,59,348
0.0,1.0,0.9,0.05365248,0.0489,0.208333,0.027701,10,38,351
0.0,1.0,0.92,0.05510526,0.045,0.230769,0.024931,9,30,352
0.0,1.0,0.94,0.0582606,0.041026,0.275862,0.022161,8,21,353
0.0,1.0,0.96,0.06425826,0.020997,0.2,0.01108,4,16,357
0.0,1.0,0.98,0.06494421,0.016173,0.3,0.00831,3,7,358
0.0,1.0,0.99,0.06690046,0.010929,0.4,0.00554,2,3,359
0.1,0.9,0.7,0.03542143,0.106931,0.1875,0.074792,27,117,334
0.1,0.9,0.8,0.04491552,0.056893,0.135417,0.036011,13,83,348
0.1,0.9,0.85,0.04618732,0.060046,0.180556,0.036011,13,59,348
0.1,0.9,0.9,0.05339422,0.0489,0.208333,0.027701,10,38,351
0.1,0.9,0.92,0.0548942,0.045,0.230769,0.024931,9,30,352
0.1,0.9,0.94,0.05807353,0.041026,0.275862,0.022161,8,21,353
0.1,0.9,0.96,0.06397358,0.026247,0.25,0.01385,5,15,356
0.1,0.9,0.98,0.06480048,0.016173,0.3,0.00831,3,7,358
0.1,0.9,0.99,0.06672206,0.010929,0.4,0.00554,2,3,359
0.3,0.7,0.7,0.03508112,0.106931,0.1875,0.074792,27,117,334
0.3,0.7,0.8,0.04453598,0.056893,0.135417,0.036011,13,83,348
0.3,0.7,0.85,0.0457949,0.060046,0.180556,0.036011,13,59,348
0.3,0.7,0.9,0.05295934,0.0489,0.208333,0.027701,10,38,351
0.3,0.7,0.92,0.05441608,0.05,0.25641,0.027701,10,29,351
0.3,0.7,0.94,0.05769942,0.041026,0.275862,0.022161,8,21,353
0.3,0.7,0.96,0.0633025,0.026247,0.25,0.01385,5,15,356
0.3,0.7,0.98,0.06454028,0.021563,0.4,0.01108,4,6,357
0.3,0.7,0.99,0.06636525,0.010929,0.4,0.00554,2,3,359
0.5,0.5,0.7,0.03462453,0.106931,0.1875,0.074792,27,117,334
0.5,0.5,0.8,0.0441947,0.056893,0.135417,0.036011,13,83,348
0.5,0.5,0.85,0.04534271,0.060046,0.180556,0.036011,13,59,348
0.5,0.5,0.9,0.0526203,0.0489,0.208333,0.027701,10,38,351
0.5,0.5,0.92,0.05401716,0.05,0.25641,0.027701,10,29,351
0.5,0.5,0.94,0.0573253,0.041026,0.275862,0.022161,8,21,353
0.5,0.5,0.96,0.06241365,0.026247,0.25,0.01385,5,15,356
0.5,0.5,0.98,0.06418618,0.021563,0.4,0.01108,4,6,357
0.5,0.5,0.99,0.06600845,0.010929,0.4,0.00554,2,3,359
0.7,0.30000000000000004,0.7,0.0342271,0.106931,0.1875,0.074792,27,117,334
0.7,0.30000000000000004,0.8,0.04387368,0.056893,0.135417,0.036011,13,83,348
0.7,0.30000000000000004,0.85,0.04493943,0.060046,0.180556,0.036011,13,59,348
0.7,0.30000000000000004,0.9,0.05208958,0.0489,0.208333,0.027701,10,38,351
0.7,0.30000000000000004,0.92,0.05366887,0.05,0.25641,0.027701,10,29,351
0.7,0.30000000000000004,0.94,0.0570163,0.041026,0.275862,0.022161,8,21,353
0.7,0.30000000000000004,0.96,0.06159435,0.026247,0.25,0.01385,5,15,356
0.7,0.30000000000000004,0.98,0.06383185,0.021563,0.4,0.01108,4,6,357
0.7,0.30000000000000004,0.99,0.06565164,0.010929,0.4,0.00554,2,3,359
0.9,0.09999999999999998,0.7,0.03371509,0.106931,0.1875,0.074792,27,117,334
0.9,0.09999999999999998,0.8,0.04351224,0.056893,0.135417,0.036011,13,83,348
0.9,0.09999999999999998,0.85,0.04449826,0.060046,0.180556,0.036011,13,59,348
0.9,0.09999999999999998,0.9,0.0516547,0.0489,0.208333,0.027701,10,38,351
0.9,0.09999999999999998,0.92,0.0532278,0.05,0.25641,0.027701,10,29,351
0.9,0.09999999999999998,0.94,0.05668951,0.046154,0.310345,0.024931,9,20,352
0.9,0.09999999999999998,0.96,0.06116622,0.031496,0.3,0.01662,6,14,355
0.9,0.09999999999999998,0.98,0.0636246,0.021563,0.4,0.01108,4,6,357
0.9,0.09999999999999998,0.99,0.06536515,0.010929,0.4,0.00554,2,3,359
1.0,0.0,0.7,0.03354749,0.106931,0.1875,0.074792,27,117,334
1.0,0.0,0.8,0.04332381,0.056893,0.135417,0.036011,13,83,348
1.0,0.0,0.85,0.04429812,0.060046,0.180556,0.036011,13,59,348
1.0,0.0,0.9,0.05149192,0.0489,0.208333,0.027701,10,38,351
1.0,0.0,0.92,0.05302568,0.05,0.25641,0.027701,10,29,351
1.0,0.0,0.94,0.0565705,0.046154,0.310345,0.024931,9,20,352
1.0,0.0,0.96,0.06082351,0.031496,0.3,0.01662,6,14,355
1.0,0.0,0.98,0.06352098,0.021563,0.4,0.01108,4,6,357
1.0,0.0,0.99,0.06529022,0.010929,0.4,0.00554,2,3,359
