epoch,loss_ae1,loss_ae2,total_loss
1,0.21790655702352524,0.2192920744419098,0.43719863146543503
2,0.2167821079492569,5.62518835067749e-07,0.21678267046809196
3,0.21531319618225098,-0.07191089168190956,0.28722408786416054
4,0.21369314193725586,-0.1069854237139225,0.32067856565117836
5,0.2119872123003006,-0.12729300558567047,0.33928021788597107
6,0.20993133634328842,-0.1400001347064972,0.3499314710497856
7,0.20780166238546371,-0.1484064906835556,0.3562081530690193
8,0.20549527555704117,-0.15400145947933197,0.35949673503637314
9,0.20235605537891388,-0.1571366861462593,0.3594927415251732
10,0.19812197238206863,-0.1580684930086136,0.3561904653906822
11,0.19201727956533432,-0.15640639513731003,0.34842367470264435
12,0.18345889449119568,-0.15180674940347672,0.3352656438946724
13,0.17143531888723373,-0.1434861347079277,0.31492145359516144
14,0.15587541460990906,-0.13149480521678925,0.2873702198266983
15,0.13585598766803741,-0.11511853337287903,0.25097452104091644
16,0.11290572211146355,-0.09580246359109879,0.20870818570256233
17,0.08980990201234818,-0.0762878954410553,0.16609779745340347
18,0.07117259502410889,-0.06084419786930084,0.13201679289340973
19,0.058104440569877625,-0.05033106543123722,0.10843550600111485
20,0.049745913594961166,-0.04382058419287205,0.09356649778783321
21,0.04477702081203461,-0.04001883044838905,0.08479585126042366
22,0.041800983250141144,-0.037751879543066025,0.07955286279320717
23,0.040422966703772545,-0.03678428754210472,0.07720725424587727
24,0.039733150973916054,-0.036365242674946785,0.07609839364886284
25,0.03968585468828678,-0.03649796172976494,0.07618381641805172
26,0.03963565081357956,-0.03658892214298248,0.07622457295656204
27,0.039534036070108414,-0.036599643528461456,0.07613367959856987
28,0.03903088718652725,-0.036213966086506844,0.0752448532730341
29,0.03876936621963978,-0.03606247901916504,0.07483184523880482
30,0.03888776712119579,-0.036269411444664,0.0751571785658598
31,0.038940392434597015,-0.03642096370458603,0.07536135613918304
32,0.03901456482708454,-0.03657569922506809,0.07559026405215263
33,0.038960304111242294,-0.0366066750138998,0.0755669791251421
34,0.03921931050717831,-0.03692137636244297,0.07614068686962128
35,0.038814255967736244,-0.03659951314330101,0.07541376911103725
36,0.03903031162917614,-0.036861201748251915,0.07589151337742805
37,0.03862448409199715,-0.036537040024995804,0.07516152411699295
38,0.03887549042701721,-0.0368332602083683,0.07570875063538551
39,0.0388968363404274,-0.036909881979227066,0.07580671831965446
40,0.03906458243727684,-0.037120597437024117,0.07618517987430096
41,0.03880803659558296,-0.036925749853253365,0.07573378644883633
42,0.03850392438471317,-0.03668123297393322,0.07518515735864639
43,0.03876511566340923,-0.03697233647108078,0.07573745213449001
44,0.03838307783007622,-0.03664804808795452,0.07503112591803074
45,0.03854481503367424,-0.036843836307525635,0.07538865134119987
46,0.03874465450644493,-0.03707361780107021,0.07581827230751514
47,0.03873149864375591,-0.037097176536917686,0.0758286751806736
48,0.03863634169101715,-0.03703779727220535,0.0756741389632225
49,0.03852102719247341,-0.03695598430931568,0.07547701150178909
50,0.03852374292910099,-0.036987729370594025,0.07551147229969501
51,0.038340676575899124,-0.036843251436948776,0.0751839280128479
52,0.03836272656917572,-0.03689420595765114,0.07525693252682686
53,0.0384638886898756,-0.03702298551797867,0.07548687420785427
54,0.03849523887038231,-0.037081798538565636,0.07557703740894794
55,0.038339896127581596,-0.036957958713173866,0.07529785484075546
56,0.038502588868141174,-0.03713788837194443,0.0756404772400856
57,0.038177333772182465,-0.036844877526164055,0.07502221129834652
58,0.038071708753705025,-0.03676415607333183,0.07483586482703686
59,0.038028379902243614,-0.036745259538292885,0.0747736394405365
60,0.03817475028336048,-0.036908477544784546,0.07508322782814503
61,0.03811323456466198,-0.03686989098787308,0.07498312555253506
62,0.03813229314982891,-0.036911170929670334,0.07504346407949924
63,0.038122741505503654,-0.03692443482577801,0.07504717633128166
64,0.038383759558200836,-0.037197012454271317,0.07558077201247215
65,0.03837845101952553,-0.037209538742899895,0.07558798976242542
66,0.03815567307174206,-0.03700993210077286,0.07516560517251492
67,0.03793533518910408,-0.03681301325559616,0.07474834844470024
68,0.038023095577955246,-0.03691511228680611,0.07493820786476135
69,0.038169486448168755,-0.03707396797835827,0.07524345442652702
70,0.037852270528674126,-0.03678271546959877,0.0746349859982729
