timestamp,pod,metric,value
915,adservice-7c8b9f944-b7rfw,cpu_throttle_ratio,0.0
915,adservice-7c8b9f944-b7rfw,cpu_usage,0.000411262
915,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0
915,adservice-7c8b9f944-b7rfw,fs_write_bytes,0.0
915,adservice-7c8b9f944-b7rfw,memory_cache,3108864.0
915,adservice-7c8b9f944-b7rfw,memory_rss,94724096.0
915,adservice-7c8b9f944-b7rfw,memory_usage,99307520.0
915,adservice-7c8b9f944-b7rfw,memory_working_set,98840576.0
915,adservice-7c8b9f944-b7rfw,oom_events,0.0
915,adservice-7c8b9f944-b7rfw,pod_cpu_limit,0.3
915,adservice-7c8b9f944-b7rfw,pod_cpu_request,0.2
915,adservice-7c8b9f944-b7rfw,pod_memory_limit,314572800.0
915,adservice-7c8b9f944-b7rfw,pod_memory_request,188743680.0
915,adservice-7c8b9f944-b7rfw,process_count,0.0
915,adservice-7c8b9f944-b7rfw,restart_count,4.0
915,adservice-7c8b9f944-b7rfw,thread_count,17.0
915,cartservice-77f8cfdff-4gflb,cpu_throttle_ratio,0.0
915,cartservice-77f8cfdff-4gflb,cpu_usage,0.00088321
915,cartservice-77f8cfdff-4gflb,fs_read_bytes,0.0
915,cartservice-77f8cfdff-4gflb,fs_write_bytes,0.0
915,cartservice-77f8cfdff-4gflb,memory_cache,29507584.0
915,cartservice-77f8cfdff-4gflb,memory_rss,27623424.0
915,cartservice-77f8cfdff-4gflb,memory_usage,58990592.0
915,cartservice-77f8cfdff-4gflb,memory_working_set,57114624.0
915,cartservice-77f8cfdff-4gflb,oom_events,0.0
915,cartservice-77f8cfdff-4gflb,pod_cpu_limit,0.3
915,cartservice-77f8cfdff-4gflb,pod_cpu_request,0.2
915,cartservice-77f8cfdff-4gflb,pod_memory_limit,134217728.0
915,cartservice-77f8cfdff-4gflb,pod_memory_request,67108864.0
915,cartservice-77f8cfdff-4gflb,process_count,0.0
915,cartservice-77f8cfdff-4gflb,restart_count,6.0
915,cartservice-77f8cfdff-4gflb,thread_count,24.0
915,checkoutservice-5fcbc94d48-c8mxz,cpu_throttle_ratio,0.0
915,checkoutservice-5fcbc94d48-c8mxz,cpu_usage,0.000289075
915,checkoutservice-5fcbc94d48-c8mxz,fs_read_bytes,0.0
915,checkoutservice-5fcbc94d48-c8mxz,fs_write_bytes,0.0
915,checkoutservice-5fcbc94d48-c8mxz,memory_cache,13381632.0
915,checkoutservice-5fcbc94d48-c8mxz,memory_rss,6987776.0
915,checkoutservice-5fcbc94d48-c8mxz,memory_usage,21106688.0
915,checkoutservice-5fcbc94d48-c8mxz,memory_working_set,13545472.0
915,checkoutservice-5fcbc94d48-c8mxz,oom_events,0.0
915,checkoutservice-5fcbc94d48-c8mxz,pod_cpu_limit,0.2
915,checkoutservice-5fcbc94d48-c8mxz,pod_cpu_request,0.1
915,checkoutservice-5fcbc94d48-c8mxz,pod_memory_limit,134217728.0
915,checkoutservice-5fcbc94d48-c8mxz,pod_memory_request,67108864.0
915,checkoutservice-5fcbc94d48-c8mxz,process_count,0.0
915,checkoutservice-5fcbc94d48-c8mxz,restart_count,4.0
915,checkoutservice-5fcbc94d48-c8mxz,thread_count,6.0
915,currencyservice-7c5c4ccd64-8zv72,cpu_throttle_ratio,0.0
915,currencyservice-7c5c4ccd64-8zv72,cpu_usage,0.000358729
915,currencyservice-7c5c4ccd64-8zv72,fs_read_bytes,0.0
915,currencyservice-7c5c4ccd64-8zv72,fs_write_bytes,0.0
915,currencyservice-7c5c4ccd64-8zv72,memory_cache,1142784.0
915,currencyservice-7c5c4ccd64-8zv72,memory_rss,34156544.0
915,currencyservice-7c5c4ccd64-8zv72,memory_usage,38031360.0
915,currencyservice-7c5c4ccd64-8zv72,memory_working_set,37134336.0
915,currencyservice-7c5c4ccd64-8zv72,oom_events,0.0
915,currencyservice-7c5c4ccd64-8zv72,pod_cpu_limit,0.2
915,currencyservice-7c5c4ccd64-8zv72,pod_cpu_request,0.1
915,currencyservice-7c5c4ccd64-8zv72,pod_memory_limit,134217728.0
915,currencyservice-7c5c4ccd64-8zv72,pod_memory_request,67108864.0
915,currencyservice-7c5c4ccd64-8zv72,process_count,0.0
915,currencyservice-7c5c4ccd64-8zv72,restart_count,4.0
915,currencyservice-7c5c4ccd64-8zv72,thread_count,12.0
915,emailservice-5c4564f4db-c9pjv,cpu_throttle_ratio,0.0
915,emailservice-5c4564f4db-c9pjv,cpu_usage,0.001808064
915,emailservice-5c4564f4db-c9pjv,fs_read_bytes,0.0
915,emailservice-5c4564f4db-c9pjv,fs_write_bytes,0.0
915,emailservice-5c4564f4db-c9pjv,memory_cache,319488.0
915,emailservice-5c4564f4db-c9pjv,memory_rss,34492416.0
915,emailservice-5c4564f4db-c9pjv,memory_usage,38256640.0
915,emailservice-5c4564f4db-c9pjv,memory_working_set,38240256.0
915,emailservice-5c4564f4db-c9pjv,oom_events,0.0
915,emailservice-5c4564f4db-c9pjv,pod_cpu_limit,0.2
915,emailservice-5c4564f4db-c9pjv,pod_cpu_request,0.1
915,emailservice-5c4564f4db-c9pjv,pod_memory_limit,134217728.0
915,emailservice-5c4564f4db-c9pjv,pod_memory_request,67108864.0
915,emailservice-5c4564f4db-c9pjv,process_count,0.0
915,emailservice-5c4564f4db-c9pjv,restart_count,6.0
915,emailservice-5c4564f4db-c9pjv,thread_count,14.0
915,frontend-fc6b4bb46-wwx7m,cpu_throttle_ratio,0.0
915,frontend-fc6b4bb46-wwx7m,cpu_usage,0.000189401
915,frontend-fc6b4bb46-wwx7m,fs_read_bytes,0.0
915,frontend-fc6b4bb46-wwx7m,fs_write_bytes,0.0
915,frontend-fc6b4bb46-wwx7m,memory_cache,16453632.0
915,frontend-fc6b4bb46-wwx7m,memory_rss,9240576.0
915,frontend-fc6b4bb46-wwx7m,memory_usage,26578944.0
915,frontend-fc6b4bb46-wwx7m,memory_working_set,23654400.0
915,frontend-fc6b4bb46-wwx7m,oom_events,0.0
915,frontend-fc6b4bb46-wwx7m,pod_cpu_limit,0.2
915,frontend-fc6b4bb46-wwx7m,pod_cpu_request,0.1
915,frontend-fc6b4bb46-wwx7m,pod_memory_limit,134217728.0
915,frontend-fc6b4bb46-wwx7m,pod_memory_request,67108864.0
915,frontend-fc6b4bb46-wwx7m,process_count,0.0
915,frontend-fc6b4bb46-wwx7m,restart_count,4.0
915,frontend-fc6b4bb46-wwx7m,thread_count,9.0
915,paymentservice-858d7c66fd-pwd9m,cpu_throttle_ratio,0.0
915,paymentservice-858d7c66fd-pwd9m,cpu_usage,0.000314729
915,paymentservice-858d7c66fd-pwd9m,fs_read_bytes,0.0
915,paymentservice-858d7c66fd-pwd9m,fs_write_bytes,0.0
915,paymentservice-858d7c66fd-pwd9m,memory_cache,1249280.0
915,paymentservice-858d7c66fd-pwd9m,memory_rss,29302784.0
915,paymentservice-858d7c66fd-pwd9m,memory_usage,32923648.0
915,paymentservice-858d7c66fd-pwd9m,memory_working_set,32157696.0
915,paymentservice-858d7c66fd-pwd9m,oom_events,0.0
915,paymentservice-858d7c66fd-pwd9m,pod_cpu_limit,0.2
915,paymentservice-858d7c66fd-pwd9m,pod_cpu_request,0.1
915,paymentservice-858d7c66fd-pwd9m,pod_memory_limit,134217728.0
915,paymentservice-858d7c66fd-pwd9m,pod_memory_request,67108864.0
915,paymentservice-858d7c66fd-pwd9m,process_count,0.0
915,paymentservice-858d7c66fd-pwd9m,restart_count,4.0
915,paymentservice-858d7c66fd-pwd9m,thread_count,12.0
915,productcatalogservice-59867cb94d-gjfzt,cpu_throttle_ratio,0.0
915,productcatalogservice-59867cb94d-gjfzt,cpu_usage,0.000462446
915,productcatalogservice-59867cb94d-gjfzt,fs_read_bytes,0.0
915,productcatalogservice-59867cb94d-gjfzt,fs_write_bytes,0.0
915,productcatalogservice-59867cb94d-gjfzt,memory_cache,1445888.0
915,productcatalogservice-59867cb94d-gjfzt,memory_rss,7979008.0
915,productcatalogservice-59867cb94d-gjfzt,memory_usage,10256384.0
915,productcatalogservice-59867cb94d-gjfzt,memory_working_set,9347072.0
915,productcatalogservice-59867cb94d-gjfzt,oom_events,0.0
915,productcatalogservice-59867cb94d-gjfzt,pod_cpu_limit,0.2
915,productcatalogservice-59867cb94d-gjfzt,pod_cpu_request,0.1
915,productcatalogservice-59867cb94d-gjfzt,pod_memory_limit,134217728.0
915,productcatalogservice-59867cb94d-gjfzt,pod_memory_request,67108864.0
915,productcatalogservice-59867cb94d-gjfzt,process_count,0.0
915,productcatalogservice-59867cb94d-gjfzt,restart_count,4.0
