amp_window,score_window,diff_order,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
11,27,0,0.95,1.7626357746772119,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
7,27,1,0.95,1.751747692244584,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
3,21,1,0.95,1.5199388780288352,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
5,21,1,0.95,1.5043009459542436,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
9,21,1,0.95,1.6176992729041693,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
11,21,1,0.95,1.6225969033674694,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
3,21,0,0.95,1.4071228109275744,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
3,27,0,0.95,1.624982946835171,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
9,21,0,0.95,1.4320238045455869,0.16,0.36363636363636365,0.2222222222222222,4,21,7,25
3,31,0,0.85,0.9571839146649719,0.1232876712328767,0.8181818181818182,0.2142857142857143,9,64,2,73
11,27,0,0.88,1.1032988540731645,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
9,27,0,0.88,1.113265462382236,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
7,27,1,0.88,0.8823950330465384,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
7,31,1,0.88,0.9833092383294338,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
11,31,1,0.88,1.1080187711797453,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
9,31,1,0.88,0.9944100148709948,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
3,27,0,0.88,1.128363272327834,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
5,31,1,0.88,0.9868585444826723,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
3,31,0,0.88,1.156919124749279,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
3,31,1,0.88,1.0162997561004035,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
5,27,0,0.88,1.15641310563915,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
9,27,1,0.88,0.8918490040746472,0.1206896551724138,0.6363636363636364,0.20289855072463767,7,51,4,58
11,31,1,0.9,1.2713592148094197,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
11,21,1,0.94,1.4788185490146373,0.13793103448275862,0.36363636363636365,0.2,4,25,7,29
11,27,1,0.9,1.2206656944609615,0.12244897959183673,0.5454545454545454,0.2,6,43,5,49
