alpha,beta,quantile,threshold,f1,precision,recall,TP,FP,FN
0.0,1.0,0.7,0.16014516,0.894737,1.0,0.809524,17,0,4
0.0,1.0,0.8,0.16493273,0.727273,1.0,0.571429,12,0,9
0.0,1.0,0.85,0.2714931,0.6,1.0,0.428571,9,0,12
0.0,1.0,0.9,0.27596813,0.444444,1.0,0.285714,6,0,15
0.0,1.0,0.92,0.27687082,0.384615,1.0,0.238095,5,0,16
0.0,1.0,0.94,0.2786335,0.32,1.0,0.190476,4,0,17
0.0,1.0,0.96,0.28054577,0.25,1.0,0.142857,3,0,18
0.0,1.0,0.98,0.28199112,0.173913,1.0,0.095238,2,0,19
0.0,1.0,0.99,0.28228325,0.090909,1.0,0.047619,1,0,20
0.1,0.9,0.7,0.15942053,0.894737,1.0,0.809524,17,0,4
0.1,0.9,0.8,0.16416714,0.727273,1.0,0.571429,12,0,9
0.1,0.9,0.85,0.27151716,0.6,1.0,0.428571,9,0,12
0.1,0.9,0.9,0.27612266,0.444444,1.0,0.285714,6,0,15
0.1,0.9,0.92,0.27716568,0.384615,1.0,0.238095,5,0,16
0.1,0.9,0.94,0.27905968,0.32,1.0,0.190476,4,0,17
0.1,0.9,0.96,0.2805646,0.25,1.0,0.142857,3,0,18
0.1,0.9,0.98,0.28197142,0.173913,1.0,0.095238,2,0,19
0.1,0.9,0.99,0.2821521,0.090909,1.0,0.047619,1,0,20
0.3,0.7,0.7,0.15805982,0.894737,1.0,0.809524,17,0,4
0.3,0.7,0.8,0.16263598,0.727273,1.0,0.571429,12,0,9
0.3,0.7,0.85,0.27156523,0.6,1.0,0.428571,9,0,12
0.3,0.7,0.9,0.27643174,0.444444,1.0,0.285714,6,0,15
0.3,0.7,0.92,0.27775538,0.384615,1.0,0.238095,5,0,16
0.3,0.7,0.94,0.27954832,0.32,1.0,0.190476,4,0,17
0.3,0.7,0.96,0.2808978,0.25,1.0,0.142857,3,0,18
0.3,0.7,0.98,0.2814517,0.173913,1.0,0.095238,2,0,19
0.3,0.7,0.99,0.28181493,0.090909,1.0,0.047619,1,0,20
0.5,0.5,0.7,0.15669912,0.894737,1.0,0.809524,17,0,4
0.5,0.5,0.8,0.1611048,0.727273,1.0,0.571429,12,0,9
0.5,0.5,0.85,0.27161336,0.6,1.0,0.428571,9,0,12
0.5,0.5,0.9,0.2767408,0.444444,1.0,0.285714,6,0,15
0.5,0.5,0.92,0.27834514,0.384615,1.0,0.238095,5,0,16
0.5,0.5,0.94,0.27960888,0.32,1.0,0.190476,4,0,17
0.5,0.5,0.96,0.28071526,0.25,1.0,0.142857,3,0,18
0.5,0.5,0.98,0.28187576,0.173913,1.0,0.095238,2,0,19
0.5,0.5,0.99,0.2821141,0.090909,1.0,0.047619,1,0,20
0.7,0.30000000000000004,0.7,0.1553384,0.894737,1.0,0.809524,17,0,4
0.7,0.30000000000000004,0.8,0.15959632,0.727273,1.0,0.571429,12,0,9
0.7,0.30000000000000004,0.85,0.27166143,0.6,1.0,0.428571,9,0,12
0.7,0.30000000000000004,0.9,0.2770499,0.444444,1.0,0.285714,6,0,15
0.7,0.30000000000000004,0.92,0.27893484,0.384615,1.0,0.238095,5,0,16
0.7,0.30000000000000004,0.94,0.2796694,0.32,1.0,0.190476,4,0,17
0.7,0.30000000000000004,0.96,0.28017214,0.25,1.0,0.142857,3,0,18
0.7,0.30000000000000004,0.98,0.28203827,0.173913,1.0,0.095238,2,0,19
0.7,0.30000000000000004,0.99,0.28259414,0.090909,1.0,0.047619,1,0,20
0.9,0.09999999999999998,0.7,0.15397769,0.894737,1.0,0.809524,17,0,4
0.9,0.09999999999999998,0.8,0.15817817,0.727273,1.0,0.571429,12,0,9
0.9,0.09999999999999998,0.85,0.2717095,0.6,1.0,0.428571,9,0,12
0.9,0.09999999999999998,0.9,0.27735895,0.444444,1.0,0.285714,6,0,15
0.9,0.09999999999999998,0.92,0.27942368,0.384615,1.0,0.238095,5,0,16
0.9,0.09999999999999998,0.94,0.27966014,0.32,1.0,0.190476,4,0,17
0.9,0.09999999999999998,0.96,0.27977645,0.25,1.0,0.142857,3,0,18
0.9,0.09999999999999998,0.98,0.28202003,0.173913,1.0,0.095238,2,0,19
0.9,0.09999999999999998,0.99,0.28304633,0.090909,1.0,0.047619,1,0,20
1.0,0.0,0.7,0.15329733,0.894737,1.0,0.809524,17,0,4
1.0,0.0,0.8,0.15746908,0.727273,1.0,0.571429,12,0,9
1.0,0.0,0.85,0.27173355,0.6,1.0,0.428571,9,0,12
1.0,0.0,0.9,0.2774331,0.444444,1.0,0.285714,6,0,15
1.0,0.0,0.92,0.2793985,0.384615,1.0,0.238095,5,0,16
1.0,0.0,0.94,0.27953565,0.32,1.0,0.190476,4,0,17
1.0,0.0,0.96,0.2799844,0.25,1.0,0.142857,3,0,18
1.0,0.0,0.98,0.28207502,0.173913,1.0,0.095238,2,0,19
1.0,0.0,0.99,0.28327245,0.090909,1.0,0.047619,1,0,20
