amp_window,score_window,quantile,threshold,precision,recall,f1,TP,FP,FN,pred_count
9,31,0.92,1.518397711687915,0.23076923076923078,0.2647058823529412,0.24657534246575344,9,30,25,39
9,31,0.9,1.3645325826382697,0.20408163265306123,0.29411764705882354,0.24096385542168677,10,39,24,49
7,31,0.9,1.378499792741731,0.20408163265306123,0.29411764705882354,0.24096385542168677,10,39,24,49
9,31,0.88,1.176706208227109,0.1896551724137931,0.3235294117647059,0.2391304347826087,11,47,23,58
11,31,0.88,1.1810928078576417,0.1896551724137931,0.3235294117647059,0.2391304347826087,11,47,23,58
3,31,0.85,0.9571839146649719,0.1643835616438356,0.35294117647058826,0.22429906542056072,12,61,22,73
9,31,0.94,1.7779905689577482,0.2413793103448276,0.20588235294117646,0.22222222222222224,7,22,27,29
9,31,0.96,1.8999480018286101,0.3,0.17647058823529413,0.22222222222222224,6,14,28,20
9,27,0.96,1.8024458206839968,0.3,0.17647058823529413,0.22222222222222224,6,14,28,20
3,31,0.94,1.6120041422262519,0.2413793103448276,0.20588235294117646,0.22222222222222224,7,22,27,29
7,31,0.96,2.051466500961035,0.3,0.17647058823529413,0.22222222222222224,6,14,28,20
7,31,0.94,1.6426382010977958,0.2413793103448276,0.20588235294117646,0.22222222222222224,7,22,27,29
11,31,0.96,2.0327235869552576,0.3,0.17647058823529413,0.22222222222222224,6,14,28,20
11,31,0.94,1.7790971891293539,0.2413793103448276,0.20588235294117646,0.22222222222222224,7,22,27,29
3,31,0.92,1.4615284116528366,0.20512820512820512,0.23529411764705882,0.2191780821917808,8,31,26,39
5,31,0.88,1.2391585473286817,0.1724137931034483,0.29411764705882354,0.2173913043478261,10,48,24,58
7,31,0.88,1.2487939278187308,0.1724137931034483,0.29411764705882354,0.2173913043478261,10,48,24,58
11,27,0.88,1.1032988540731645,0.1724137931034483,0.29411764705882354,0.2173913043478261,10,48,24,58
9,27,0.9,1.2660796359506414,0.1836734693877551,0.2647058823529412,0.21686746987951805,9,40,25,49
11,27,0.9,1.2485601136953224,0.1836734693877551,0.2647058823529412,0.21686746987951805,9,40,25,49
5,31,0.9,1.356270849783341,0.1836734693877551,0.2647058823529412,0.21686746987951805,9,40,25,49
11,31,0.9,1.338076485404495,0.1836734693877551,0.2647058823529412,0.21686746987951805,9,40,25,49
11,31,0.85,0.9517949953183601,0.1506849315068493,0.3235294117647059,0.205607476635514,11,62,23,73
7,31,0.85,1.0401173205112002,0.1506849315068493,0.3235294117647059,0.205607476635514,11,62,23,73
5,31,0.85,1.0823190277720895,0.1506849315068493,0.3235294117647059,0.205607476635514,11,62,23,73
11,27,0.85,0.9169811796351748,0.1506849315068493,0.3235294117647059,0.205607476635514,11,62,23,73
9,31,0.85,0.9586655194405672,0.1506849315068493,0.3235294117647059,0.205607476635514,11,62,23,73
9,27,0.85,0.9130070551631103,0.1506849315068493,0.3235294117647059,0.205607476635514,11,62,23,73
3,31,0.97,2.2066155629276234,0.3333333333333333,0.14705882352941177,0.20408163265306123,5,10,29,15
