timestamp,pod,metric,value,label,fault_service,sr_score,pred,target
0,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.9090908917355374,1,0
15,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
30,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
45,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
60,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
75,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
90,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
105,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
120,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
135,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
150,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
165,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
180,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,0.0,0,0
195,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,5.200107843947959e-11,0,0
210,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,7.106814052902795e-10,0,0
225,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,5.200107843947959e-11,0,0
240,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,7.280150981148568e-10,0,0
255,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,3.4667385625718814e-11,0,0
270,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,7.280150981148568e-10,0,0
285,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,6.933477125384129e-11,0,0
300,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,4.246754739260973e-10,0,0
315,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.3000269610883939e-10,0,0
330,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,4.5934285956864176e-10,0,0
345,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,9.533531047651053e-11,0,0
360,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.5340318140045339e-09,0,0
375,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.1266900329237448e-10,0,0
390,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.152690572085121e-09,0,0
405,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,9.533531047651053e-11,0,0
420,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,7.886830230056092e-10,0,0
435,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,9.533531047651053e-11,0,0
450,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,2.6000539220415825e-10,0,0
465,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,9.533531047651053e-11,0,0
480,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,7.713493301789288e-10,0,0
495,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,6.066792484658531e-11,0,0
510,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,4.073417811057264e-10,0,0
525,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.1266900329237449e-10,0,0
540,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.2046916505876965e-09,0,0
555,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.6467008174357194e-10,0,0
570,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,8.40684101489256e-10,0,0
585,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.4733638892590523e-10,0,0
600,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,5.026770916252023e-10,0,0
615,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.4733638892590523e-10,0,0
630,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.2306921898410126e-09,0,0
645,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.7333692815263065e-10,0,0
660,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,5.37344477273155e-10,0,0
675,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.9067062097119872e-10,0,0
690,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.8633719776650035e-10,0,0
705,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,2.383382762253594e-10,0,0
720,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,1.3216940772382656e-09,0,0
735,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,2.6433881545681704e-10,0,0
750,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,4.398424552244677e-10,0,0
765,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,2.751723734703234e-10,0,0
780,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,4.50676013239805e-10,0,0
795,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,3.2067331712961353e-10,0,0
810,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,3.120064707180009e-10,0,0
825,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,3.293401635413763e-10,0,0
840,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,4.1600862762940944e-10,0,0
855,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,3.2500674033547613e-10,0,0
870,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,5.070105149233428e-10,0,0
885,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,3.770078188087571e-10,0,0
900,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,normal,none,5.048438033429833e-10,0,0
915,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,3.770078188087571e-10,0,1
930,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,5.048438033429833e-10,0,1
945,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,3.770078188087571e-10,0,1
960,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,5.070105149233428e-10,0,1
975,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,3.2500674033547613e-10,0,1
990,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,4.1600862762940944e-10,0,1
1005,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,3.293401635413763e-10,0,1
1020,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,3.120064707180009e-10,0,1
1035,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,3.2067331712961353e-10,0,1
1050,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,4.50676013239805e-10,0,1
1065,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,2.751723734703234e-10,0,1
1080,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,4.398424552244677e-10,0,1
1095,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,2.6433881545681704e-10,0,1
1110,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.3216940772382656e-09,0,1
1125,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,2.383382762253594e-10,0,1
1140,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.8633719776650035e-10,0,1
1155,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.9067062097119872e-10,0,1
1170,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,5.37344477273155e-10,0,1
1185,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.7333692815263065e-10,0,1
1200,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.2306921898410126e-09,0,1
1215,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.4733638892590523e-10,0,1
1230,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,5.026770916252023e-10,0,1
1245,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.4733638892590523e-10,0,1
1260,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,8.40684101489256e-10,0,1
1275,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.6467008174357194e-10,0,1
1290,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.2046916505876965e-09,0,1
1305,adservice-7c8b9f944-b7rfw,fs_read_bytes,0.0,anomaly,cartservice,1.1266900329237452e-10,0,1
